EWS,NEET Rank,Local,Category,NEET Score,State_Rank,Gender,State Rank
NO,76179,AU,OC,535,1,F,1
NO,85148,AU,OC,525,2,F,2
NO,86541,AU,OC,523,3,F,3
NO,92411,SVU,OC,517,4,M,4
NO,111166,AU,BCB,497,5,M,5
NO,114766,NL,BCB,494,6,M,6
NO,115680,AU,BCA,493,7,F,7
NO,116498,AU,BCB,492,8,F,8
NO,117380,SVU,OC,491,9,F,9
NO,121621,NL,BCB,487,10,F,10
NO,123859,SVU,OC,485,11,F,11
NO,123975,AU,OC,485,12,F,12
NO,144312,AU,OC,466,13,F,13
NO,148092,AU,OC,463,14,F,14
NO,148526,AU,BCB,462,15,M,15
NO,152994,AU,BCA,459,16,F,16
NO,158200,AU,BCD,454,17,F,17
NO,158368,AU,OC,454,18,F,18
NO,158456,AU,OC,454,19,F,19
NO,160454,SVU,BCE,452,20,F,20
NO,160636,AU,OC,452,21,F,21
NO,166407,SVU,BCB,447,22,F,22
NO,167874,AU,OC,446,23,F,23
NO,172588,OU,OC,442,24,M,24
NO,172781,SVU,OC,442,25,F,25
NO,175157,SVU,OC,440,26,F,26
NO,178942,OU,BCD,437,27,M,27
NO,180039,OU,BCD,436,28,F,28
NO,180258,OU,OC,436,29,F,29
NO,180381,OU,BCD,436,30,F,30
NO,180417,OU,BCD,436,31,F,31
NO,181467,OU,BCD,435,32,F,32
NO,181664,SVU,BCA,435,33,F,33
NO,182204,AU,OC,435,34,F,34
EWS,184059,OU,OC,433,35,F,35
NO,184066,OU,BCD,433,36,F,36
NO,184538,OU,BCB,433,37,F,37
NO,184844,SVU,BCE,433,38,F,38
NO,185031,OU,BCD,433,39,M,39
NO,185279,OU,BCB,432,40,F,40
NO,185351,AU,OC,432,41,F,41
NO,186593,OU,BCE,431,42,F,42
NO,186632,OU,BCD,431,43,F,43
NO,186690,OU,BCD,431,44,M,44
NO,186695,AU,OC,431,45,F,45
NO,187946,OU,BCD,430,46,F,46
EWS,189270,OU,OC,429,47,M,47
NO,189366,OU,BCD,429,48,F,48
EWS,189388,OU,OC,429,49,F,49
NO,189718,SVU,BCB,429,50,F,50
NO,190548,OU,BCE,428,51,F,51
NO,190965,OU,BCB,428,52,F,52
NO,191327,OU,OC,428,53,F,53
NO,191799,SVU,BCE,427,54,M,54
NO,192121,OU,BCE,427,55,F,55
NO,192148,SVU,OC,427,56,F,56
NO,193251,OU,BCB,426,57,F,57
NO,193436,SVU,SC,426,58,M,58
NO,194461,AU,SC,425,59,F,59
NO,195907,AU,SC,424,60,F,60
NO,196136,OU,BCB,424,61,F,61
NO,197293,OU,BCB,423,62,F,62
EWS,197647,OU,OC,423,63,M,63
NO,198453,OU,BCD,423,64,M,64
EWS,199309,OU,OC,422,65,F,65
NO,200254,OU,BCB,421,66,F,66
NO,201370,SVU,OC,420,67,F,67
NO,201438,SVU,BCE,420,68,M,68
EWS,201499,OU,OC,420,69,F,69
NO,201606,OU,BCD,420,70,F,70
NO,202755,OU,BCD,419,71,M,71
NO,202813,OU,BCD,419,72,M,72
NO,203065,OU,BCD,419,73,F,73
NO,204207,AU,SC,418,74,F,74
NO,204375,OU,BCD,418,75,F,75
NO,205707,OU,BCB,417,76,F,76
NO,206871,OU,BCB,416,77,F,77
EWS,207026,OU,OC,416,78,F,78
NO,207657,OU,BCB,416,79,F,79
NO,208421,OU,BCE,415,80,F,80
NO,208901,OU,BCB,415,81,F,81
NO,209069,OU,BCD,415,82,M,82
NO,209715,OU,OC,414,83,F,83
NO,209748,OU,OC,414,84,F,84
NO,210084,OU,BCE,414,85,F,85
NO,210261,OU,BCD,414,86,F,86
NO,211041,SVU,BCB,413,87,M,87
NO,211271,OU,BCB,413,88,M,88
NO,211291,OU,BCB,413,89,F,89
NO,212477,AU,BCA,412,90,M,90
NO,213698,AU,OC,412,91,F,91
NO,213880,OU,BCE,411,92,F,92
NO,214135,OU,BCD,411,93,F,93
NO,214437,OU,BCD,411,94,F,94
NO,215188,OU,BCD,410,95,F,95
NO,215336,OU,BCB,410,96,F,96
NO,215664,AU,BCD,410,97,M,97
NO,217422,OU,BCD,409,98,F,98
NO,218334,OU,BCB,408,99,F,99
NO,219681,AU,BCD,407,100,F,100
NO,220259,SVU,SC,407,101,M,101
NO,220331,SVU,BCB,407,102,F,102
NO,221050,AU,SC,406,103,F,103
EWS,221253,OU,OC,406,104,M,104
NO,221370,OU,BCE,406,105,F,105
NO,221748,NL,BCA,406,106,F,106
NO,221825,NL,SC,406,107,F,107
NO,222631,SVU,OC,405,108,F,108
NO,222645,OU,BCD,405,109,F,109
NO,222727,AU,OC,405,110,F,110
NO,223323,OU,OC,405,111,F,111
NO,223844,OU,BCD,405,112,F,112
NO,224059,OU,OC,404,113,M,113
NO,224064,SVU,BCE,404,114,M,114
NO,224123,OU,BCB,404,115,F,115
NO,224150,AU,BCE,404,116,F,116
NO,224284,OU,BCD,404,117,M,117
NO,224312,OU,BCD,404,118,F,118
NO,224417,OU,BCB,404,119,F,119
NO,224458,AU,BCB,404,120,F,120
NO,224493,OU,BCB,404,121,F,121
NO,225543,OU,BCE,403,122,M,122
NO,225688,OU,BCD,403,123,M,123
NO,225802,AU,OC,403,124,M,124
NO,226170,OU,BCB,403,125,F,125
NO,226393,SVU,SC,403,126,M,126
NO,226971,OU,BCB,402,127,F,127
NO,227227,OU,BCB,402,128,M,128
NO,227336,OU,BCD,402,129,F,129
NO,227866,AU,BCA,402,130,M,130
NO,228838,OU,BCD,401,131,F,131
NO,229845,AU,SC,400,132,F,132
NO,229862,OU,BCB,400,133,F,133
NO,232018,OU,BCE,399,134,F,134
NO,232872,OU,ST,398,135,F,135
NO,232891,OU,BCB,398,136,F,136
NO,234478,OU,BCB,397,137,M,137
NO,234745,OU,ST,397,138,M,138
NO,235240,OU,BCB,397,139,F,139
NO,235465,SVU,BCB,397,140,M,140
NO,235877,OU,BCB,396,141,F,141
NO,235966,SVU,OC,396,142,F,142
NO,236531,OU,BCD,396,143,F,143
NO,236870,OU,BCE,396,144,F,144
NO,237620,OU,BCB,395,145,M,145
NO,237644,OU,BCB,395,146,F,146
EWS,239034,OU,OC,394,147,M,147
NO,239287,OU,BCB,394,148,F,148
NO,239597,OU,OC,394,149,F,149
NO,240495,OU,BCD,393,150,M,150
NO,241966,AU,SC,392,151,F,151
NO,242064,OU,BCB,392,152,F,152
NO,243528,OU,BCD,391,153,F,153
NO,243775,OU,BCD,391,154,F,154
NO,245046,OU,BCE,390,155,F,155
NO,245048,SVU,BCA,390,156,F,156
NO,245188,OU,BCB,390,157,F,157
EWS,245193,OU,OC,390,158,F,158
NO,245285,OU,BCB,390,159,M,159
NO,245304,OU,SC,390,160,F,160
NO,246899,OU,OC,389,161,F,161
NO,246931,OU,ST,389,162,F,162
NO,246994,OU,SC,389,163,F,163
NO,247166,OU,BCD,389,164,F,164
NO,248365,OU,BCB,388,165,F,165
NO,248457,OU,ST,388,166,F,166
EWS,248466,OU,OC,388,167,F,167
NO,248522,OU,SC,388,168,F,168
NO,248584,OU,ST,388,169,F,169
NO,248702,AU,BCD,388,170,M,170
NO,249692,OU,BCD,388,171,M,171
NO,250476,OU,BCE,387,172,F,172
NO,251523,OU,BCB,386,173,F,173
NO,251587,OU,SC,386,174,F,174
NO,251866,OU,SC,386,175,M,175
NO,252903,OU,BCE,386,176,F,176
NO,253483,SVU,SC,385,177,F,177
NO,253525,SVU,OC,385,178,F,178
NO,253564,SVU,OC,385,179,F,179
NO,253862,OU,BCB,385,180,M,180
NO,254465,SVU,BCD,385,181,F,181
NO,254957,OU,SC,384,182,F,182
NO,254984,OU,BCB,384,183,M,183
NO,255123,OU,BCB,384,184,F,184
NO,255136,OU,SC,384,185,F,185
EWS,255499,OU,OC,384,186,F,186
NO,256527,OU,BCD,383,187,F,187
NO,256603,SVU,BCA,383,188,F,188
EWS,257212,OU,OC,383,189,F,189
NO,257994,OU,ST,382,190,F,190
NO,258032,OU,ST,382,191,F,191
NO,258043,OU,SC,382,192,F,192
NO,258306,OU,ST,382,193,M,193
NO,258341,OU,SC,382,194,M,194
NO,258380,OU,SC,382,195,F,195
NO,259507,OU,SC,381,196,F,196
NO,259620,OU,ST,381,197,M,197
NO,259660,OU,BCA,381,198,F,198
NO,259823,OU,BCB,381,199,F,199
NO,259868,SVU,BCB,381,200,F,200
NO,259943,SVU,BCB,381,201,F,201
NO,260288,OU,ST,381,202,M,202
NO,261205,SVU,OC,380,203,F,203
NO,261230,OU,BCD,380,204,F,204
NO,263144,OU,BCD,379,205,M,205
NO,263239,OU,SC,379,206,F,206
NO,263318,AU,BCB,379,207,M,207
NO,263732,OU,BCE,379,208,F,208
NO,263765,OU,BCE,379,209,F,209
EWS,264666,OU,OC,378,210,F,210
NO,264700,OU,BCE,378,211,M,211
NO,264734,OU,BCB,378,212,F,212
NO,264813,SVU,OC,378,213,F,213
NO,265002,OU,BCB,378,214,F,214
NO,265818,OU,OC,378,215,F,215
NO,265880,OU,BCD,378,216,F,216
NO,266243,OU,BCD,377,217,F,217
NO,266279,SVU,BCE,377,218,F,218
NO,266332,OU,BCD,377,219,M,219
NO,266395,OU,BCD,377,220,F,220
EWS,266500,OU,OC,377,221,F,221
NO,266519,OU,BCA,377,222,F,222
NO,266549,OU,OC,377,223,F,223
NO,267172,OU,BCA,377,224,F,224
NO,267294,OU,BCE,377,225,F,225
NO,267879,OU,BCE,376,226,F,226
NO,267998,OU,BCB,376,227,F,227
NO,269582,OU,BCB,375,228,F,228
NO,269974,OU,SC,375,229,F,229
NO,270083,OU,BCE,375,230,M,230
NO,271351,OU,BCA,374,231,F,231
NO,271378,OU,ST,374,232,F,232
NO,271805,OU,BCD,374,233,F,233
NO,272046,SVU,BCE,374,234,F,234
NO,273033,AU,OC,373,235,F,235
NO,273109,OU,BCC,373,236,F,236
NO,273252,OU,BCE,373,237,F,237
NO,273254,OU,ST,373,238,F,238
NO,273313,OU,BCB,373,239,M,239
NO,273384,SVU,OC,373,240,M,240
NO,274643,OU,BCB,372,241,F,241
NO,274701,OU,SC,372,242,F,242
NO,274761,OU,BCD,372,243,F,243
NO,274991,OU,SC,372,244,F,244
NO,276341,OU,SC,371,245,F,245
NO,276389,OU,BCB,371,246,F,246
NO,276517,OU,SC,371,247,F,247
NO,277961,AU,BCA,370,248,F,248
NO,277972,SVU,BCE,370,249,F,249
NO,278009,OU,SC,370,250,F,250
NO,278034,OU,SC,370,251,F,251
NO,278039,OU,BCB,370,252,F,252
NO,278427,OU,BCD,370,253,F,253
NO,278637,OU,BCB,370,254,F,254
NO,279757,OU,BCB,369,255,F,255
NO,279929,OU,OC,369,256,F,256
NO,279947,SVU,OC,369,257,F,257
NO,279973,OU,OC,369,258,F,258
NO,280575,OU,ST,369,259,F,259
NO,280607,OU,BCD,369,260,M,260
NO,280668,OU,OC,369,261,F,261
NO,281572,OU,BCB,368,262,F,262
NO,281736,OU,BCE,368,263,M,263
NO,281971,OU,SC,368,264,F,264
NO,283174,OU,BCA,367,265,F,265
NO,283253,AU,OC,367,266,F,266
NO,283335,OU,ST,367,267,F,267
NO,283359,OU,BCA,367,268,F,268
NO,283483,OU,BCE,367,269,F,269
NO,284031,OU,BCB,367,270,F,270
