State Rank,NEET Rank,Percentile,NEET Score,Final Score,Gender,Category,Local,EWS,Minority
1,15,99.9990680,715,715,M,OC,OU,No,No
2,52,99.9962719,710,710,F,OC,OU,No,No
3,68,99.9962719,710,710,M,OC,SVU,No,No
4,139,99.9914157,705,705,F,OC,OU,No,No
5,162,99.9914157,705,705,F,BCB,OU,No,No
6,228,99.9828313,700,700,M,OC,OU,No,No
7,246,99.9828313,700,700,F,OC,OU,No,No
8,283,99.9828313,700,700,F,OC,OU,No,No
9,285,99.9828313,700,700,M,BCD,OU,No,No
10,318,99.9828313,700,700,M,OC,SVU,No,No
11,322,99.9828313,700,700,M,BCD,OU,No,No
12,339,99.9828313,700,700,M,OC,OU,No,No
13,418,99.9712547,695,695,F,BCB,OU,No,No
14,466,99.9712547,695,695,F,OC,OU,No,No
15,491,99.9712547,695,695,M,OC,OU,No,No
16,523,99.9712547,695,695,M,OC,OU,No,No
17,533,99.9712547,695,695,M,OC,OU,No,No
18,543,99.9712547,695,695,M,OC,OU,No,No
19,568,99.9712547,695,695,M,OC,OU,No,No
20,626,99.9670852,691,691,F,OC,OU,No,No
21,646,99.9670852,691,691,M,OC,OU,No,No
22,678,99.9554105,690,690,F,OC,OU,No,No
23,682,99.9554105,690,690,F,BCD,OU,No,No
24,693,99.9554105,690,690,F,OC,OU,No,No
25,694,99.9554105,690,690,M,OC,OU,No,No
26,698,99.9554105,690,690,M,OC,OU,No,No
27,701,99.9554105,690,690,F,OC,OU,No,No
28,749,99.9554105,690,690,F,OC,OU,No,No
29,768,99.9554105,690,690,F,OC,OU,No,No
30,770,99.9554105,690,690,M,OC,OU,No,No
31,809,99.9554105,690,690,F,OC,OU,No,No
32,1001,99.9493279,686,686,F,OC,OU,No,No
33,1013,99.9493279,686,686,F,OC,SVU,No,No
34,1045,99.9369174,685,685,M,OC,OU,No,No
35,1046,99.9369174,685,685,F,BCB,OU,No,No
36,1087,99.9369174,685,685,M,BCD,OU,No,No
37,1103,99.9369174,685,685,F,OC,OU,No,No
38,1242,99.9369174,685,685,F,BCB,SVU,No,No
39,1300,99.9361325,684,684,F,OC,OU,No,No
40,1330,99.9323554,682,682,M,OC,OU,No,No
41,1361,99.9323554,682,682,F,OC,OU,No,No
42,1382,99.9263218,681,681,F,BCE,SVU,No,MSM
43,1437,99.9263218,681,681,M,OC,OU,No,No
44,1444,99.9263218,681,681,F,OC,OU,No,No
45,1506,99.9143528,680,680,F,OC,OU,No,No
46,1519,99.9143528,680,680,F,BCD,OU,No,No
47,1529,99.9143528,680,680,M,OC,AU,No,No
48,1530,99.9143528,680,680,M,OC,OU,No,No
49,1552,99.9143528,680,680,F,BCA,OU,No,No
50,1553,99.9143528,680,680,M,OC,OU,No,No
51,1582,99.9143528,680,680,F,OC,OU,No,No
52,1586,99.9143528,680,680,F,OC,OU,No,No
53,1594,99.9143528,680,680,M,OC,SVU,No,No
54,1609,99.9143528,680,680,F,SC,OU,No,No
55,1672,99.9143528,680,680,M,BCD,OU,No,No
56,1677,99.9143528,680,680,M,OC,OU,No,No
57,1822,99.9074363,677,677,F,BCB,OU,No,No
58,1826,99.9074363,677,677,M,BCD,OU,No,No
59,1919,99.9002745,676,676,F,BCB,OU,No,No
60,1974,99.9002745,676,676,M,OC,NL,No,No
61,2036,99.8844303,675,675,M,OC,AU,No,No
62,2043,99.8844303,675,675,M,OC,OU,No,No
63,2057,99.8844303,675,675,M,OC,AU,No,No
64,2088,99.8844303,675,675,M,OC,OU,No,No
65,2107,99.8844303,675,675,F,OC,OU,No,No
66,2159,99.8844303,675,675,M,OC,OU,No,No
67,2206,99.8844303,675,675,F,OC,AU,No,No
68,2225,99.8844303,675,675,M,BCC,OU,No,No
69,2244,99.8844303,675,675,F,OC,OU,No,No
70,2248,99.8844303,675,675,M,BCE,OU,No,MSM
71,2250,99.8844303,675,675,M,OC,OU,No,No
72,2257,99.8844303,675,675,F,BCD,OU,No,No
73,2258,99.8844303,675,675,M,OC,AU,No,No
74,2266,99.8844303,675,675,F,BCD,OU,No,No
75,2326,99.8844303,675,675,M,OC,OU,No,No
76,2400,99.8800155,673,673,M,SC,OU,No,No
77,2414,99.8800155,673,673,M,OC,AU,No,No
78,2486,99.8756988,672,672,M,SC,OU,No,No
79,2500,99.8756988,672,672,F,OC,OU,No,No
80,2512,99.8756988,672,672,F,OC,OU,No,No
81,2540,99.8678993,671,671,F,OC,OU,No,No
82,2546,99.8678993,671,671,M,OC,OU,No,No
83,2571,99.8678993,671,671,F,BCD,OU,No,No
84,2610,99.8678993,671,671,F,BCE,OU,No,MSM
85,2613,99.8678993,671,671,M,BCE,SVU,No,MSM
86,2618,99.8678993,671,671,F,OC,OU,No,No
87,2634,99.8678993,671,671,F,OC,SVU,No,No
88,2642,99.8678993,671,671,M,BCB,OU,No,No
89,2650,99.8678993,671,671,M,OC,OU,No,No
90,2707,99.8507306,670,670,M,OC,OU,No,MSM
91,2767,99.8507306,670,670,M,OC,OU,No,No
92,2771,99.8507306,670,670,M,OC,OU,No,No
93,2774,99.8507306,670,670,M,BCE,OU,No,MSM
94,2789,99.8507306,670,670,F,OC,OU,No,No
95,2823,99.8507306,670,670,M,OC,SVU,No,No
96,2825,99.8507306,670,670,M,SC,OU,No,No
97,2944,99.8507306,670,670,F,OC,OU,No,No
98,2949,99.8507306,670,670,F,OC,AU,No,No
99,2955,99.8507306,670,670,M,OC,SVU,No,No
100,2975,99.8507306,670,670,M,OC,AU,No,No
101,2981,99.8507306,670,670,M,OC,SVU,No,No
102,3017,99.8507306,670,670,M,BCA,OU,No,No
103,3054,99.8484741,669,669,F,OC,AU,No,No
104,3136,99.8444027,668,668,M,OC,OU,No,No
105,3174,99.8385163,667,667,M,OC,SVU,No,No
106,3211,99.8385163,667,667,F,OC,OU,No,No
107,3214,99.8385163,667,667,F,OC,OU,No,No
108,3225,99.8385163,667,667,M,OC,OU,No,No
109,3229,99.8385163,667,667,F,OC,OU,No,No
110,3270,99.8385163,667,667,F,OC,NL,No,No
111,3322,99.8291962,666,666,F,OC,OU,No,No
112,3328,99.8291962,666,666,F,OC,OU,No,No
113,3339,99.8291962,666,666,F,OC,AU,No,No
114,3355,99.8291962,666,666,M,BCB,OU,No,No
115,3368,99.8291962,666,666,F,OC,OU,No,No
