RANK,SX,CAT,LOC,Category,COLLEGE,PHASE
58234,F,OC,AP,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
61312,M,OC,AP,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
63725,F,OC,AP,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
77142,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
79341,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
88064,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
89042,M,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
91454,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
92535,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
95563,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
95854,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
97970,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
97997,F,OC,OTHERS,B1,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
102602,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
104068,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
104355,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
111270,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
113164,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
113420,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
113637,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
114472,M,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
114620,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
115318,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
115639,F,BC-A,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
115664,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
116631,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
116634,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
116640,F,BC-A,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
117461,M,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
120070,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
121541,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
121547,F,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
121562,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
121609,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
122648,F,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
123051,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
124369,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
125736,F,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
126926,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
127009,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
127079,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
127715,F,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
128297,M,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
128523,M,BC-A,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
128972,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
128984,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
130005,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
130610,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
130613,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
132384,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
133786,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
133892,M,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
134466,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
135283,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
135394,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
136951,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
137490,F,BC-A,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
138884,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
140019,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
140980,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
141018,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
141872,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
143417,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
147920,M,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
148791,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
148878,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
149906,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
149911,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
149963,M,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
151060,F,BC-C,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
152162,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
153720,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
153884,F,BC-A,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
154794,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
157369,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
157683,M,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
158078,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
158376,F,BC-A,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
159089,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
159658,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
160113,M,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
