RANK,NEET_ROLL_NO,SCORE,SX,CAT,LOC,PHASE,COLLEGE,EWS
1503,1206060037,680,M,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
2599,1209010031,671,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
5738,1205060436,655,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
8695,1205090412,644,M,OC,APNL,P1,"Siddhartha Medical College, Vijayawada",NO
11748,1205050763,635,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
13361,4201490245,631,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
14969,4101010491,627,M,OC,NL,P1,"Siddhartha Medical College, Vijayawada",NO
16975,1205230286,623,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
18140,1205120420,620,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
18147,1205100150,620,F,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
19353,4201340383,618,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
19832,4219030462,617,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
20013,1205130166,616,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
20318,4219040450,616,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
21014,1205060432,615,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
21203,4201300383,614,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
21223,1205270414,614,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
21582,4201380299,613,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
21736,1205100376,613,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
21740,1224010159,613,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
21822,1201040095,613,M,BCC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
21831,1205220319,613,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
22196,4204010247,612,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
22807,1205060349,611,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
24869,4207020117,607,M,BCC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
25268,4204010182,606,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
25326,1224030394,606,M,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
25837,1212050290,605,M,BCB,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
26599,1205160279,604,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
26958,4204030088,603,M,OC,OUAPNL,P1,"Siddhartha Medical College, Vijayawada",NO
27008,4201120089,603,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
27532,1208010355,602,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
27988,1205050621,601,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
28035,1224080038,601,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
28150,1205040728,601,M,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
28390,4201330043,601,M,OC,OUAPNL,P1,"Siddhartha Medical College, Vijayawada",NO
28523,1205230315,601,F,OC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
28663,4201040184,600,F,BCD,OU,P1,"Siddhartha Medical College, Vijayawada",NO
29163,1205060499,600,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
29704,4201400196,599,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
30000,1205040157,598,M,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
30490,1206010307,597,M,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
30754,1229040187,597,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
30931,1206070461,596,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
31128,1228030018,596,M,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
31758,1205240206,595,M,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
31762,1229010073,595,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
31802,4201420163,595,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
31834,1206110182,595,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
32005,1206100246,595,F,BCD,AU,P1,"Siddhartha Medical College, Vijayawada",NO
32032,4201280415,595,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
32539,1205160147,594,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
32643,4201520129,594,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
33225,1205260069,593,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
33469,1203060366,592,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
35417,1205020359,590,F,OC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
35622,4201430174,589,M,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
36266,1205050140,588,F,BCC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
39470,4219040008,583,M,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
40236,4201040276,582,F,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
42047,1205050176,580,M,BCD,OU,P1,"Siddhartha Medical College, Vijayawada",NO
42420,4219090035,579,F,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
43655,1205060403,577,F,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
44810,1203010351,575,F,BCD,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
44986,4219090130,575,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
45670,1205120256,574,F,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
45721,1205210368,574,M,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
45981,4201390189,574,M,BCA,OU,P1,"Siddhartha Medical College, Vijayawada",NO
47226,1222010377,572,M,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
47854,1228020003,571,F,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
48065,1205210054,571,F,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
48377,1222020140,570,M,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
48416,1205080103,570,F,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
48454,4201150113,570,M,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
48892,1206150033,570,F,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
49212,1206030377,569,F,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
49883,1206080231,568,F,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
49893,1224030028,568,F,BCB,AU,P1,"Siddhartha Medical College, Vijayawada",NO
49962,1220050027,568,F,BCA,AU,P1,"Siddhartha Medical College, Vijayawada",NO
50772,4203051324,567,M,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
51034,2713080197,567,M,BCE,APNL,P1,"Siddhartha Medical College, Vijayawada",NO
51094,1205260198,567,M,BCE,APNL,P1,"Siddhartha Medical College, Vijayawada",NO
51310,1204040183,566,F,BCD,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
52115,1203060006,565,M,BCD,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
52522,4201370079,565,M,BCB,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
53606,1219020079,563,F,BCB,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
54318,1203030463,562,F,BCB,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
54473,1205100110,562,M,BCB,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
56124,4204010147,560,F,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
56728,4201140644,559,M,BCD,OU,P1,"Siddhartha Medical College, Vijayawada",NO
56736,4223020183,559,F,BCE,OU,P1,"Siddhartha Medical College, Vijayawada",NO
57794,4219020063,558,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
59641,4201010412,555,M,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
59756,1205260119,555,M,BCA,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
61013,1205090072,554,M,RAJSEKHAR,M,P1,"Siddhartha Medical College, Vijayawada",NO
61939,1205240285,553,F,BCE,AU,P1,"Siddhartha Medical College, Vijayawada",NO
62878,1202050091,551,F,BCA,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
62896,4201130006,551,F,BCB,OU,P1,"Siddhartha Medical College, Vijayawada",NO
63827,1205250050,550,F,BCE,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
63963,4203010308,550,F,BCE,OU,P1,"Siddhartha Medical College, Vijayawada",NO
64648,1205040517,549,F,BCA,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
65050,1201100109,549,M,BCE,AU,P1,"Siddhartha Medical College, Vijayawada",NO
66115,4201430296,547,F,BCD,OU,P1,"Siddhartha Medical College, Vijayawada",NO
69344,4219080120,543,F,BCC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
71007,4203050986,541,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
71385,4219010251,541,F,OC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
