,COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
0,"OSMANIA MEDICAL COLLEGE, HYDERABAD",2043,OU,OC,M,,P1
1,"OSMANIA MEDICAL COLLEGE, HYDERABAD",3339,AU,OC,F,,P1
2,"OSMANIA MEDICAL COLLEGE, HYDERABAD",3701,AU,OC,M,,P1
3,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4098,SVU,OC,F,,P1
4,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4127,SVU,OC,M,,P1
5,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4259,AU,OC,M,,P1
6,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4888,AU,OC,F,,P1
7,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4995,SVU,OC,F,,P1
8,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5158,SVU,OC,M,,P1
9,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5521,AU,OC,F,,P1
10,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5534,AU,OC,F,,P1
11,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5574,OU,BCE,M,,P1
12,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5805,AU,BCE,F,,P1
13,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6512,OU,OC,M,,P1
14,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6628,OU,OC,F,,P1
15,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6686,OU,OC,M,,P1
16,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6689,OU,OC,M,,P1
17,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6843,OU,BCE,M,,P1
18,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7086,OU,OC,M,,P1
19,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7129,OU,OC,M,,P1
20,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7208,OU,OC,M,,P1
21,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7585,OU,OC,F,,P1
22,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7684,OU,OC,F,,P1
23,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7724,OU,OC,M,,P1
24,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7943,OU,OC,F,,P1
25,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8062,OU,OC,F,,P1
26,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8080,OU,OC,F,,P1
27,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8164,OU,OC,F,,P1
28,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8202,NL,BCD,M,,P1
29,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8308,OU,OC,M,,P1
30,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8340,SVU,BCB,M,,P1
31,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8403,OU,OC,F,,P1
32,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8409,OU,OC,F,,P1
33,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8443,AU,BCD,F,,P1
34,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8576,OU,OC,M,,P1
35,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8711,OU,OC,F,,P1
36,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8751,OU,OC,F,,P1
37,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8810,OU,OC,F,,P1
38,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9224,OU,OC,F,,P1
39,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9319,AU,BCB,M,,P1
40,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9793,OU,SC,F,,P1
41,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9997,OU,BCB,M,,P1
42,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10002,OU,BCD,M,,P1
43,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10052,OU,OC,M,,P1
