COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4098,SVU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4259,AU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4460,AU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4760,NL,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4995,SVU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5521,AU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5574,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5680,AU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5738,AU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5805,AU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",11528,SVU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6503,AU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6843,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7129,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7943,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8062,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8080,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8164,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8202,NL,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8308,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8340,SVU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8403,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8409,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8711,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8751,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8810,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",9224,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",9319,AU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",9997,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10002,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10052,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10064,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10185,AU,BCE,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10404,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10579,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10651,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10656,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10735,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10753,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10824,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",10946,SVU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",11066,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",11089,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",11178,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",11642,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12233,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12252,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12290,OU,OC,M,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12305,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12436,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12753,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12788,SVU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",12957,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",13361,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",13403,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",13629,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",13799,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",13938,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",14206,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",14461,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",14581,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",14824,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",15273,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",15533,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",15706,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",15959,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16135,OU,OC,M,NO,P2
