,COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
0,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4098,SVU,OC,F,NO,P1
1,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4259,AU,OC,M,NO,P1
2,"OSMANIA MEDICAL COLLEGE, HYDERABAD",4460,AU,OC,M,NO,P2
3,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5521,AU,OC,F,NO,P2
4,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5574,OU,BCE,M,NO,P1
5,"OSMANIA MEDICAL COLLEGE, HYDERABAD",5805,AU,BCE,F,NO,P3
6,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6503,AU,OC,M,NO,P2
7,"OSMANIA MEDICAL COLLEGE, HYDERABAD",6843,OU,BCE,M,NO,P3
8,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7064,AU,OC,F,NO,P3
9,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7129,OU,OC,M,NO,P3
10,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7893,SVU,OC,M,NO,P3
11,"OSMANIA MEDICAL COLLEGE, HYDERABAD",7943,OU,OC,F,NO,P3
12,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8062,OU,OC,F,NO,P1
13,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8202,NL,BCD,M,NO,P1
14,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8308,OU,OC,M,NO,P1
15,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8340,SVU,BCB,M,NO,P1
16,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8403,OU,OC,F,NO,P1
17,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8409,OU,OC,F,NO,P1
18,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8711,OU,OC,F,NO,P1
19,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8751,OU,OC,F,NO,P1
20,"OSMANIA MEDICAL COLLEGE, HYDERABAD",8810,OU,OC,F,NO,P1
21,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9224,OU,OC,F,NO,P1
22,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9319,AU,BCB,M,NO,P1
23,"OSMANIA MEDICAL COLLEGE, HYDERABAD",9997,OU,BCB,M,NO,P1
24,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10002,OU,BCD,M,NO,P1
25,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10052,OU,OC,M,NO,P1
26,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10064,OU,OC,M,NO,P1
27,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10404,OU,OC,F,NO,P1
28,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10579,OU,OC,M,NO,P1
29,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10651,OU,OC,M,NO,P1
30,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10656,OU,OC,F,NO,P1
31,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10735,OU,BCE,F,NO,P2
32,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10753,OU,OC,M,NO,P1
33,"OSMANIA MEDICAL COLLEGE, HYDERABAD",10824,OU,OC,M,NO,P1
34,"OSMANIA MEDICAL COLLEGE, HYDERABAD",11066,OU,OC,F,NO,P2
35,"OSMANIA MEDICAL COLLEGE, HYDERABAD",11089,OU,OC,F,NO,P2
36,"OSMANIA MEDICAL COLLEGE, HYDERABAD",11178,OU,OC,F,NO,P2
37,"OSMANIA MEDICAL COLLEGE, HYDERABAD",11642,OU,OC,M,NO,P1
38,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12233,OU,OC,F,NO,P2
39,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12252,OU,OC,F,NO,P2
40,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12290,OU,OC,M,EWS,P2
41,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12305,OU,OC,F,NO,P2
42,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12436,OU,OC,M,NO,P1
43,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12753,OU,OC,M,NO,P1
44,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12788,SVU,BCB,F,NO,P2
45,"OSMANIA MEDICAL COLLEGE, HYDERABAD",12957,OU,OC,M,NO,P1
46,"OSMANIA MEDICAL COLLEGE, HYDERABAD",13361,OU,OC,F,NO,P2
47,"OSMANIA MEDICAL COLLEGE, HYDERABAD",13403,OU,BCB,F,NO,P2
48,"OSMANIA MEDICAL COLLEGE, HYDERABAD",13629,OU,OC,M,NO,P2
49,"OSMANIA MEDICAL COLLEGE, HYDERABAD",13799,OU,OC,M,NO,P2
50,"OSMANIA MEDICAL COLLEGE, HYDERABAD",13938,OU,OC,F,NO,P2
51,"OSMANIA MEDICAL COLLEGE, HYDERABAD",14206,OU,OC,F,NO,P3
52,"OSMANIA MEDICAL COLLEGE, HYDERABAD",14461,OU,BCD,M,NO,P2
53,"OSMANIA MEDICAL COLLEGE, HYDERABAD",14581,OU,OC,F,NO,P3
54,"OSMANIA MEDICAL COLLEGE, HYDERABAD",14824,OU,OC,F,EWS,P3
55,"OSMANIA MEDICAL COLLEGE, HYDERABAD",15273,OU,BCB,F,NO,P3
56,"OSMANIA MEDICAL COLLEGE, HYDERABAD",15533,OU,OC,M,NO,P2
57,"OSMANIA MEDICAL COLLEGE, HYDERABAD",15706,OU,BCE,F,NO,P3
58,"OSMANIA MEDICAL COLLEGE, HYDERABAD",15959,OU,BCB,F,NO,P3
59,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16135,OU,OC,M,NO,P2
60,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16320,OU,OC,M,NO,P2
61,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16380,OU,BCE,F,NO,P3
62,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16563,OU,OC,M,NO,P2
63,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16609,OU,BCD,F,NO,P3
64,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16649,OU,OC,M,NO,P2
65,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16726,OU,BCB,M,NO,P3
66,"OSMANIA MEDICAL COLLEGE, HYDERABAD",16761,OU,OC,F,NO,P3
67,"OSMANIA MEDICAL COLLEGE, HYDERABAD",17231,OU,OC,F,NO,P3
68,"OSMANIA MEDICAL COLLEGE, HYDERABAD",17596,OU,BCD,F,NO,P3
69,"OSMANIA MEDICAL COLLEGE, HYDERABAD",17616,OU,BCB,M,NO,P3
70,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18010,OU,BCB,M,NO,P3
71,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18220,OU,BCB,F,NO,P3
72,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18394,OU,BCB,F,NO,P3
73,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18467,OU,BCB,M,NO,P3
74,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18712,OU,OC,M,NO,P3
75,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18950,OU,BCD,F,NO,P3
76,"OSMANIA MEDICAL COLLEGE, HYDERABAD",18988,OU,BCD,M,NO,P3
77,"OSMANIA MEDICAL COLLEGE, HYDERABAD",19171,OU,BCB,F,NO,P3
78,"OSMANIA MEDICAL COLLEGE, HYDERABAD",19239,OU,OC,F,NO,P3
79,"OSMANIA MEDICAL COLLEGE, HYDERABAD",19256,OU,BCB,F,NO,P2
80,"OSMANIA MEDICAL COLLEGE, HYDERABAD",20069,OU,BCD,F,NO,P3
81,"OSMANIA MEDICAL COLLEGE, HYDERABAD",20497,OU,BCE,M,NO,P3
82,"OSMANIA MEDICAL COLLEGE, HYDERABAD",20790,OU,BCB,F,NO,P2
83,"OSMANIA MEDICAL COLLEGE, HYDERABAD",21255,OU,BCB,F,NO,P2
84,"OSMANIA MEDICAL COLLEGE, HYDERABAD",21822,SVU,BCC,M,NO,P1
85,"OSMANIA MEDICAL COLLEGE, HYDERABAD",22128,OU,BCB,F,NO,P2
86,"OSMANIA MEDICAL COLLEGE, HYDERABAD",22133,OU,BCB,F,NO,P1
87,"OSMANIA MEDICAL COLLEGE, HYDERABAD",22272,OU,BCD,F,NO,P2
88,"OSMANIA MEDICAL COLLEGE, HYDERABAD",22533,OU,BCA,M,NO,P2
89,"OSMANIA MEDICAL COLLEGE, HYDERABAD",22572,OU,BCB,M,NO,P1
90,"OSMANIA MEDICAL COLLEGE, HYDERABAD",23140,OU,BCD,M,NO,P1
91,"OSMANIA MEDICAL COLLEGE, HYDERABAD",23522,OU,BCD,F,NO,P3
92,"OSMANIA MEDICAL COLLEGE, HYDERABAD",23877,OU,BCB,F,NO,P1
93,"OSMANIA MEDICAL COLLEGE, HYDERABAD",24033,OU,BCD,M,NO,P1
95,"OSMANIA MEDICAL COLLEGE, HYDERABAD",24357,OU,BCB,M,NO,P2
96,"OSMANIA MEDICAL COLLEGE, HYDERABAD",24808,OU,BCD,F,NO,P1
97,"OSMANIA MEDICAL COLLEGE, HYDERABAD",25904,OU,BCB,F,NO,P2
98,"OSMANIA MEDICAL COLLEGE, HYDERABAD",25936,OU,BCB,F,NO,P2
99,"OSMANIA MEDICAL COLLEGE, HYDERABAD",25942,OU,BCB,M,NO,P2
100,"OSMANIA MEDICAL COLLEGE, HYDERABAD",26018,OU,BCD,M,NO,P2
101,"OSMANIA MEDICAL COLLEGE, HYDERABAD",26070,OU,BCD,M,NO,P2
102,"OSMANIA MEDICAL COLLEGE, HYDERABAD",26106,OU,BCE,F,NO,P1
103,"OSMANIA MEDICAL COLLEGE, HYDERABAD",26491,OU,BCE,M,NO,P1
104,"OSMANIA MEDICAL COLLEGE, HYDERABAD",26612,OU,BCD,M,NO,P2
105,"OSMANIA MEDICAL COLLEGE, HYDERABAD",26625,OU,BCB,M,NO,P2
