     ,COLLEGE                                                        ,RANK    ,LOC ,CAT ,SX ,EWS ,PHASE
   0 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  32375 ,NL  ,OC  ,F  ,NO  ,P1
   1 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  34091 ,NL  ,OC  ,M  ,NO  ,P2
   2 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  63027 ,OU  ,OC  ,M  ,NO  ,P1
   3 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  65907 ,OU  ,OC  ,F  ,NO  ,P1
   4 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  79356 ,OU  ,BCD ,M  ,NO  ,P1
   5 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  90441 ,OU  ,OC  ,F  ,NO  ,P1
   6 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  92493 ,NL  ,OC  ,F  ,NO  ,P4
   7 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  97817 ,NL  ,OC  ,F  ,NO  ,P4
   8 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 101040 ,NL  ,OC  ,M  ,NO  ,P5
   9 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 104992 ,OU  ,OC  ,F  ,NO  ,P1
  10 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 108270 ,OU  ,OC  ,M  ,NO  ,P1
  11 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 112575 ,OU  ,OC  ,F  ,NO  ,P1
  12 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 113441 ,OU  ,BCB ,F  ,NO  ,P1
  13 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 113929 ,OU  ,OC  ,F  ,NO  ,P1
  14 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 115177 ,OU  ,OC  ,F  ,NO  ,P1
  15 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 115534 ,OU  ,OC  ,F  ,NO  ,P1
  16 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 123999 ,OU  ,OC  ,F  ,NO  ,P1
  17 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 125888 ,OU  ,OC  ,F  ,NO  ,P1
  18 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 128142 ,OU  ,OC  ,F  ,NO  ,P1
  19 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 129578 ,OU  ,OC  ,M  ,NO  ,P1
  20 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 132683 ,OU  ,OC  ,M  ,NO  ,P1
  21 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 133683 ,OU  ,OC  ,M  ,NO  ,P1
  22 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 134102 ,OU  ,BCD ,F  ,NO  ,P1
  23 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 137660 ,OU  ,OC  ,M  ,NO  ,P1
  24 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 138423 ,OU  ,OC  ,F  ,NO  ,P1
  25 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 139685 ,OU  ,OC  ,F  ,NO  ,P1
  26 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 143490 ,OU  ,OC  ,F  ,NO  ,P1
  27 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 144150 ,OU  ,OC  ,F  ,NO  ,P1
  28 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 144264 ,OU  ,BCB ,F  ,NO  ,P1
  29 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 146602 ,OU  ,OC  ,F  ,NO  ,P1
  30 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 147844 ,OU  ,OC  ,F  ,NO  ,P1
  31 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 148850 ,OU  ,OC  ,F  ,NO  ,P1
  32 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 149243 ,NL  ,OC  ,M  ,NO  ,P5
  33 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 150016 ,NL  ,OC  ,F  ,NO  ,P2
  34 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 151292 ,OU  ,OC  ,F  ,NO  ,P2
  35 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 151766 ,OU  ,OC  ,F  ,NO  ,P2
  36 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 157129 ,OU  ,OC  ,F  ,NO  ,P2
  37 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 159635 ,OU  ,OC  ,M  ,NO  ,P2
  38 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 160150 ,NL  ,OC  ,F  ,NO  ,P5
  39 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 160447 ,OU  ,OC  ,M  ,NO  ,P2
  40 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 160577 ,OU  ,OC  ,F  ,NO  ,P2
  41 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 162620 ,OU  ,OC  ,M  ,NO  ,P2
  42 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 163662 ,OU  ,OC  ,M  ,NO  ,P2
  43 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 164596 ,OU  ,OC  ,F  ,NO  ,P2
  44 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 165254 ,OU  ,OC  ,F  ,NO  ,P2
  45 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 166552 ,OU  ,OC  ,M  ,NO  ,P2
  46 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 167771 ,OU  ,BCD ,F  ,NO  ,P2
  47 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 168081 ,OU  ,OC  ,F  ,NO  ,P2
  48 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 170159 ,OU  ,OC  ,F  ,NO  ,P2
  49 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 170509 ,OU  ,OC  ,M  ,NO  ,P2
  50 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 177448 ,NL  ,OC  ,F  ,NO  ,P5
  51 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 177828 ,OU  ,BCD ,F  ,NO  ,P3
  52 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 177933 ,OU  ,OC  ,F  ,NO  ,P3
  53 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 208911 ,AU  ,OC  ,F  ,NO  ,P1
  54 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 226909 ,OU  ,OC  ,F  ,NO  ,P1
  55 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 240767 ,OU  ,OC  ,F  ,NO  ,P1
  56 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 243600 ,OU  ,OC  ,F  ,NO  ,P1
  57 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 245558 ,NL  ,OC  ,F  ,NO  ,P1
  58 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 308238 ,OU  ,OC  ,F  ,NO  ,P1
  59 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 312934 ,SVU ,OC  ,F  ,NO  ,P1
  60 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 333186 ,OU  ,OC  ,M  ,NO  ,P1
  61 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 337074 ,OU  ,OC  ,M  ,NO  ,P3
  62 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 344588 ,OU  ,OC  ,F  ,NO  ,P3
  63 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 355631 ,OU  ,OC  ,F  ,NO  ,P1
  64 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 355647 ,AU  ,OC  ,F  ,NO  ,P1
  65 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 378434 ,OU  ,OC  ,F  ,NO  ,P1
  66 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 389402 ,OU  ,BCE ,F  ,NO  ,P1
  67 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 392103 ,OU  ,OC  ,F  ,NO  ,P5
  68 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 392119 ,OU  ,OC  ,F  ,NO  ,P1
  69 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 395260 ,OU  ,OC  ,M  ,NO  ,P1
  70 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 409798 ,OU  ,OC  ,M  ,NO  ,P1
  71 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 421811 ,OU  ,BCD ,F  ,NO  ,P1
  72 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 428325 ,OU  ,BCB ,M  ,NO  ,P1
  73 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 456334 ,OU  ,OC  ,F  ,NO  ,P5
  74 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 461185 ,OU  ,BCB ,M  ,NO  ,P5
  75 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  63725 ,AU  ,OC  ,F  ,NO  ,P1
  76 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  67324 ,AU  ,OC  ,F  ,NO  ,P2
  77 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  74242 ,NL  ,OC  ,F  ,NO  ,P1
  78 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  74429 ,NL  ,OC  ,F  ,NO  ,P1
  79 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  75859 ,NL  ,OC  ,M  ,NO  ,P3
  80 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       ,  78626 ,AU  ,OC  ,F  ,NO  ,P3
  81 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 107914 ,NL  ,OC  ,M  ,NO  ,P4
  82 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 135280 ,OU  ,OC  ,F  ,NO  ,P1
  83 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 145249 ,OU  ,OC  ,F  ,NO  ,P2
  84 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 158250 ,OU  ,BCB ,M  ,NO  ,P1
  85 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 159949 ,OU  ,OC  ,M  ,NO  ,P1
  86 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 161331 ,OU  ,OC  ,F  ,NO  ,P1
  87 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 162312 ,OU  ,OC  ,M  ,NO  ,P1
  88 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 162318 ,OU  ,OC  ,M  ,NO  ,P1
  89 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 164182 ,OU  ,OC  ,F  ,NO  ,P2
  90 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 164451 ,OU  ,OC  ,M  ,NO  ,P1
  91 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 167091 ,OU  ,OC  ,F  ,NO  ,P1
  92 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 168732 ,OU  ,BCD ,F  ,NO  ,P1
  93 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 171411 ,OU  ,OC  ,F  ,NO  ,P1
  94 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 171463 ,OU  ,OC  ,F  ,NO  ,P1
  95 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 171760 ,OU  ,OC  ,M  ,NO  ,P1
  96 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 171929 ,OU  ,OC  ,F  ,NO  ,P2
  97 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 172047 ,OU  ,OC  ,F  ,NO  ,P1
  98 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 172551 ,OU  ,OC  ,F  ,NO  ,P1
  99 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 173783 ,OU  ,OC  ,F  ,NO  ,P1
 100 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 174596 ,OU  ,OC  ,F  ,NO  ,P1
 101 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 175470 ,OU  ,OC  ,F  ,NO  ,P1
 102 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 175853 ,OU  ,OC  ,F  ,NO  ,P1
 103 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 175942 ,OU  ,OC  ,M  ,NO  ,P2
 104 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 176946 ,OU  ,OC  ,F  ,NO  ,P2
 105 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 177685 ,OU  ,OC  ,F  ,NO  ,P2
 106 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 177747 ,OU  ,BCD ,M  ,NO  ,P2
 107 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 177852 ,OU  ,OC  ,F  ,NO  ,P2
 108 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 178826 ,OU  ,OC  ,F  ,NO  ,P2
 109 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 178950 ,OU  ,OC  ,F  ,NO  ,P2
 110 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 179287 ,OU  ,OC  ,F  ,NO  ,P2
 111 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 180122 ,OU  ,BCB ,F  ,NO  ,P2
 112 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 181469 ,OU  ,BCD ,F  ,NO  ,P2
 113 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 181534 ,OU  ,OC  ,F  ,NO  ,P2
 114 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 182727 ,OU  ,OC  ,F  ,NO  ,P2
 115 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 185291 ,OU  ,OC  ,F  ,NO  ,P2
 116 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 185407 ,OU  ,BCD ,F  ,NO  ,P2
 117 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 186647 ,OU  ,BCD ,F  ,NO  ,P2
 118 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 187972 ,OU  ,OC  ,F  ,NO  ,P2
 119 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 187975 ,OU  ,OC  ,F  ,NO  ,P2
 120 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 188451 ,OU  ,BCB ,F  ,NO  ,P3
 121 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 189293 ,OU  ,OC  ,F  ,NO  ,P2
 122 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 189349 ,OU  ,BCD ,F  ,NO  ,P2
 123 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 189453 ,OU  ,BCD ,F  ,NO  ,P3
 124 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 191809 ,OU  ,BCB ,F  ,NO  ,P3
 125 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 194436 ,OU  ,OC  ,F  ,NO  ,P3
 126 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 294602 ,OU  ,OC  ,M  ,NO  ,P1
 127 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 319017 ,SVU ,OC  ,F  ,NO  ,P2
 128 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 360212 ,OU  ,OC  ,F  ,NO  ,P1
 129 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 424885 ,OU  ,OC  ,M  ,NO  ,P1
 130 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 426463 ,OU  ,OC  ,F  ,NO  ,P3
 131 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 429722 ,NL  ,OC  ,F  ,NO  ,P1
 132 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 443225 ,OU  ,OC  ,F  ,NO  ,P1
 133 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 444445 ,OU  ,OC  ,M  ,NO  ,P1
 134 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 452817 ,OU  ,OC  ,F  ,NO  ,P1
 135 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 481071 ,OU  ,BCB ,M  ,NO  ,P2
 136 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 483601 ,OU  ,BCD ,M  ,NO  ,P2
 137 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 486854 ,OU  ,OC  ,F  ,NO  ,P2
 138 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 492307 ,OU  ,OC  ,F  ,NO  ,P1
 139 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 504764 ,OU  ,OC  ,M  ,NO  ,P1
 140 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 511110 ,OU  ,BCB ,F  ,NO  ,P2
 141 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 511303 ,OU  ,BCC ,M  ,NO  ,P1
 142 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 518689 ,OU  ,OC  ,M  ,NO  ,P1
 143 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 522161 ,OU  ,OC  ,F  ,NO  ,P2
 144 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 530196 ,OU  ,BCB ,F  ,NO  ,P1
 145 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 545601 ,OU  ,OC  ,F  ,NO  ,P1
 146 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 546171 ,OU  ,BCB ,M  ,NO  ,P1
 147 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 561708 ,OU  ,BCB ,M  ,NO  ,P1
 148 ,"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD"       , 596481 ,OU  ,OC  ,F  ,NO  ,P1
 149 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        ,  70893 ,NL  ,BCD ,F  ,NO  ,P2
 150 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        ,  76064 ,SVU ,OC  ,F  ,NO  ,P1
 151 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        ,  81557 ,NL  ,OC  ,F  ,NO  ,P1
 152 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        ,  85748 ,NL  ,OC  ,M  ,NO  ,P1
 153 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        ,  87464 ,AU  ,BCD ,F  ,NO  ,P3
 154 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        ,  90648 ,NL  ,OC  ,M  ,NO  ,P3
 155 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 126702 ,OU  ,OC  ,F  ,NO  ,P1
 156 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 156921 ,OU  ,OC  ,M  ,NO  ,P1
 157 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 163223 ,OU  ,OC  ,F  ,NO  ,P2
 158 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 172898 ,OU  ,OC  ,M  ,NO  ,P1
 159 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 175711 ,OU  ,OC  ,F  ,NO  ,P1
 160 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 178922 ,OU  ,OC  ,M  ,NO  ,P1
 161 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 179619 ,OU  ,OC  ,F  ,NO  ,P1
 162 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 180399 ,OU  ,BCD ,M  ,NO  ,P1
 163 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 180401 ,OU  ,OC  ,F  ,NO  ,P1
 164 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 182235 ,OU  ,OC  ,M  ,NO  ,P1
 165 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 183433 ,OU  ,BCD ,M  ,NO  ,P1
 166 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 189298 ,OU  ,OC  ,F  ,NO  ,P1
 167 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 190667 ,OU  ,BCD ,M  ,NO  ,P3
 168 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 191801 ,OU  ,OC  ,F  ,NO  ,P1
 169 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 192174 ,OU  ,BCD ,F  ,NO  ,P1
 170 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 192339 ,OU  ,OC  ,F  ,NO  ,P1
 171 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 193154 ,OU  ,BCD ,F  ,NO  ,P1
 172 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 194824 ,OU  ,BCE ,M  ,NO  ,P2
 173 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 196361 ,OU  ,BCD ,M  ,NO  ,P1
 174 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 196610 ,OU  ,BCB ,F  ,NO  ,P2
 175 ,"MAMATA ACADEMY OF MED SCI, BACHUPALLY"                        , 197085 ,OU  ,OC  ,F  ,NO  ,P1
