COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",66195,AU,OC,M,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",69482,AU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",77931,AU,OC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",82593,SVU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",83143,AU,OC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",85878,SVU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",86603,SVU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",88051,SVU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",100093,AU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",100360,SVU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",101535,AU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",107673,AU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",109266,AU,BCD,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",115641,AU,BCB,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",115680,AU,BCA,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",116181,AU,BCC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",120931,AU,BCA,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",124899,AU,BCD,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",138463,SVU,BCB,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",150906,SVU,BCB,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",154599,AU,BCA,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",162869,OU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",164791,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",165840,AU,BCC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",167529,OU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",167867,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",168367,NL,SC,M,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",169386,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",169404,AU,BCD,M,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",169431,OU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",170197,AU,BCB,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",171270,AU,SC,F,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",173784,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",175515,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",176891,OU,OC,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",178979,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",180182,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",181348,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",181439,AU,BCB,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",184253,OU,BCB,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",185505,OU,BCE,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",185616,OU,BCB,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",186577,SVU,BCE,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",186725,OU,BCB,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",187904,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",193661,AU,SC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",195933,SVU,SC,F,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",201697,AU,SC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",204281,AU,SC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",208604,SVU,BCA,M,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",212499,AU,SC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",225591,SVU,ST,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",226248,AU,ST,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",226975,AU,SC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",232956,OU,ST,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",233170,OU,ST,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",234525,OU,ST,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",251724,SVU,SC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",259551,OU,BCA,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",266687,OU,BCA,M,,P3
