COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,PHASE,Category
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",31229,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",32375,NL,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",37371,NL,BCE,F,MSM,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",41646,NL,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",41962,NL,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",44584,NL,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",45505,NL,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",51606,NL,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",63027,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",65907,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",67523,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",79356,OU,BCD,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",90441,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",91348,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",95039,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",100569,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",103612,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",104992,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",108270,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",112575,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",113441,OU,BCB,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",113929,OU,OC,F,NO,NO,NO,P1,B
