COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",31229,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",32375,NL,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",37371,NL,BCE,F,MSM,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",41646,NL,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",41962,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",44584,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",45505,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",51606,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",63027,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",65907,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",67523,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",79356,OU,BCD,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",90441,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",91348,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",95039,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",100569,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",103612,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",104992,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",108270,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",108855,,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",112575,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",113441,OU,BCB,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",113929,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",115177,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",115534,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",118613,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",122342,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",123999,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",125888,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",128142,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",129578,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",132683,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",133683,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",134102,OU,BCD,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",134323,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",136819,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",137660,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",138423,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",139685,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",140512,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",141857,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",143490,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",144150,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",144264,OU,BCB,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",145249,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",146414,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",146602,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",147844,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",148850,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",149720,OU,BCD,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",150044,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",150318,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",208911,AU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",226909,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",240767,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",243600,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",245558,NL,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",274837,NL,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",287368,NL,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",291267,NL,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",303467,NL,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",308238,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",312934,SVU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",333186,OU,OC,M,MSM,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",355631,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",355647,AU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",364514,NL,OC,M,,NRI,,,P1
