SNo,Rank,Allotted Quota,Allotted Institute,Course,"AllotedCategory","CandidateCategory",Remarks
1,3849,All India,"Gandhi Medical College Musheerabad Secunderabad,MUSHEERABAD,
SECUNDERABAD, Telangana, 500003",MBBS,Open,General,Allotted
2,5505,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,General,Allotted
3,6184,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted
4,6373,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand
India, PIN - 814152, Jharkhand, 814152",MBBS,Open,EWS,Allotted
5,6478,Open Seat Quota,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road
Bathinda, Punjab, 151001",MBBS,Open,General,Allotted
6,6901,Open Seat Quota,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,Open,OBC,Allotted
7,6953,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,General,Allotted
8,7123,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand
India, PIN - 814152, Jharkhand, 814152",MBBS,OBC,OBC,Allotted
9,7155,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,General,Allotted
10,7199,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound,
Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,OBC,Allotted
11,7212,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,OBC,OBC,Allotted
12,7265,All India,"Jawaharlal Nehru Medical College, Bhagalpur,SUKHRAJ RAI PATH, BHAGALPUR,
Bihar, 812001",MBBS,Open,OBC,Allotted
13,7398,All India,"GOVT. MEDICAL COLLEGE,PATIALA,Sangrur road Government Medical College,
Patiala, Punjab, 147001",MBBS,Open,General,Allotted
14,7540,All India,"ESIC Medical College, Faridabad,NH 3 NIT FARIDABAD, Haryana, 121001",MBBS,Open,General,Allotted
15,7562,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand
Gomti Nagar
Lucknow, Uttar Pradesh, 226010",MBBS,Open,General,Allotted
16,8006,All India,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR
SHIMLA, Himachal Pradesh, 171001",MBBS,Open,General,Allotted
17,8454,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,OBC,OBC,Allotted
18,8597,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted
19,8636,Open Seat Quota,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,Open,EWS,Allotted
20,8685,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD,B J Medical College, New Civil Hospital
Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,OBC,OBC,Allotted
21,8868,Open Seat Quota,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,OBC,OBC,Allotted
22,9127,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound,
Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,General,Allotted
23,9215,All India,"RUHS College of Medical Sciences, Jaipur,RUHS COLLEGE OF MEDICAL SCIENCES,
SECTOR -11, PRATAP NAGAR, SANGANER, JAIPUR 302033, Rajasthan, 302033",MBBS,Open,General,Allotted
24,9299,All India,"Indira Gandhi Institute of Medical Sciences, Patna,RAZA BAZAR, SHEIKHPURA,
PATNA",MBBS,EWS,EWS,Allotted
25,9672,All India,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA,138 AJC Bose Road, Kolkata -
700014, West Bengal, 700014",MBBS,Open,OBC,Allotted
26,9818,All India,"B.J. Government Medical College, Pune,Sassoon Hospital Compound, Near Pune
Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,Open,OBC,Allotted
27,10009,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003",MBBS,Open,OBC,Allotted
28,10366,All India,"RUHS College of Medical Sciences, Jaipur,RUHS COLLEGE OF MEDICAL SCIENCES,
SECTOR -11, PRATAP NAGAR, SANGANER, JAIPUR 302033, Rajasthan, 302033",MBBS,Open,OBC,Allotted
