COLLEGE,RANK,NEET_ROLL_NO,SCORE,SX,CAT,LOC,PHASE,EWS
"Siddhartha Medical College, Vijayawada",1503,1206060037,680,M,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",2599,1209010031,671,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",5738,1205060436,655,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",8695,1205090412,644,M,OC,APNL,P1,NO
"Siddhartha Medical College, Vijayawada",11748,1205050763,635,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",13361,4201490245,631,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",14969,4101010491,627,M,OC,NL,P1,NO
"Siddhartha Medical College, Vijayawada",16975,1205230286,623,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",18140,1205120420,620,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",18147,1205100150,620,F,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",19353,4201340383,618,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",19832,4219030462,617,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",20013,1205130166,616,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",20318,4219040450,616,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",21014,1205060432,615,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",21203,4201300383,614,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",21223,1205270414,614,F,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",21582,4201380299,613,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",21736,1205100376,613,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",21740,1224010159,613,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",21822,1201040095,613,M,BCC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",21831,1205220319,613,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",22196,4204010247,612,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",22807,1205060349,611,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",24869,4207020117,607,M,BCC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",25268,4204010182,606,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",25326,1224030394,606,M,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",25837,1212050290,605,M,BCB,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",26599,1205160279,604,F,BCD,AU,P1,NO
