NEET Rank,NEET Roll No,NEET Score,Gender,Category,Local,EWS,State Rank
112,1205110434,705,M,BCB,SVU,NO,1
255,1206050388,700,F,BCD,AU,NO,2
296,1220050251,700,F,OC,AU,NO,3
339,4201430185,700,M,OC,AU,NO,4
432,1205140387,695,M,OC,AU,NO,5
446,1205240008,695,F,OC,AU,NO,6
510,1205070529,695,M,BCA,SVU,NO,7
529,1229050023,695,M,BCA,AU,NO,8
706,1201040003,690,M,OC,SVU,YES,9
728,1205220325,690,F,BCD,AU,NO,10
862,1201070227,690,M,OC,AU,NO,11
873,1205010802,690,M,BCE,SVU,NO,12
921,1205030567,688,M,OC,AU,NO,13
982,1206070060,686,M,BCA,AU,NO,14
1105,1201090039,685,F,OC,AU,NO,15
1242,1205210357,685,F,BCB,SVU,NO,16
1315,1228010023,683,F,OC,AU,YES,17
1382,4201190322,681,F,BCE,SVU,NO,18
1503,1206060037,680,M,BCD,AU,NO,19
1930,1201050139,676,F,OC,AU,NO,20
2036,1216020158,675,M,OC,AU,NO,21
2037,1205070240,675,F,OC,AU,NO,22
2068,4201490119,675,M,BCB,SVU,NO,23
2212,1205010799,675,F,BCB,AU,NO,24
2421,1205190426,673,M,OC,AU,NO,25
2451,1216010031,672,F,BCD,AU,NO,26
2510,1206020073,672,M,OC,AU,NO,27
2599,1209010031,671,F,OC,AU,NO,28
2613,1205100275,671,M,BCE,SVU,NO,29
2634,1206050131,671,F,OC,SVU,NO,30
2725,1201010589,670,M,OC,AU,NO,31
2823,1205080237,670,M,OC,SVU,YES,32
2981,1205190083,670,M,OC,SVU,NO,33
2990,1202020796,670,M,BCB,SVU,NO,34
3054,1224030465,669,F,OC,AU,NO,35
3174,1205010057,667,M,OC,SVU,NO,36
3203,1201100257,667,F,OC,AU,NO,37
3296,1224040194,666,M,OC,AU,NO,38
3318,1201020479,666,F,OC,AU,YES,39
3339,1205230004,666,F,BCB,AU,NO,40
3436,1228010372,666,M,OC,AU,NO,41
3487,1204050149,665,M,OC,SVU,NO,42
3489,2715060138,665,F,OC,APNL,NO,43
3519,1201060137,665,F,OC,AU,YES,44
3524,1202030716,665,F,BCC,SVU,NO,45
3529,1205080319,665,M,OC,SVU,NO,46
3560,1205180281,665,F,BCE,SVU,NO,47
3567,1205140068,665,F,BCA,SVU,NO,48
3593,1205110045,665,F,BCD,SVU,NO,49
3701,1216030033,665,M,OC,AU,NO,50
3851,4201260394,665,F,BCD,AU,NO,51
