COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",86541.0,AU,OC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",111166.0,AU,BCB,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",172588.0,OU,OC,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",180417.0,OU,BCD,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",181467.0,OU,BCD,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",184059.0,OU,OC,F,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",184066.0,OU,BCD,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",184538.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",185031.0,OU,BCD,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",185279.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",189270.0,OU,OC,M,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",189366.0,OU,BCD,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",190965.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",193251.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",195907.0,AU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",197293.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",197647.0,OU,OC,M,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",200254.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",201499.0,OU,OC,F,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",201606.0,OU,BCD,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",202755.0,OU,BCD,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",202813.0,OU,BCD,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",203065.0,OU,BCD,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",205707.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",206871.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",210084.0,OU,BCE,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",211271.0,OU,BCB,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",211291.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",213880.0,OU,BCE,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",215336.0,OU,BCB,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",221253.0,OU,OC,M,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",232872.0,OU,ST,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",234745.0,OU,ST,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",239034.0,OU,OC,M,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",246994.0,OU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",248457.0,OU,ST,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",248584.0,OU,ST,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",251587.0,OU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",254957.0,OU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",257212.0,OU,OC,F,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",258341.0,OU,SC,M,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",258380.0,OU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",259507.0,OU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",266500.0,OU,OC,F,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",266519.0,OU,BCA,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",267172.0,OU,BCA,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",271351.0,OU,BCA,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",273109.0,OU,BCC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",274701.0,OU,SC,F,NO,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",294071.0,OU,OC,F,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",321832.0,OU,OC,F,YES,P1
"DR. B.R.K.R. GOVT. AYURVEDIC COLLEGE, HYDERABAD.",323563.0,OU,OC,F,YES,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",114766.0,NL,BCB,M,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",116498.0,AU,BCB,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",121621.0,NL,BCB,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",152994.0,AU,BCA,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",209715.0,OU,OC,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",209748.0,OU,OC,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",210261.0,OU,BCD,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",217422.0,OU,BCD,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",218334.0,OU,BCB,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",221050.0,AU,SC,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",222645.0,OU,BCD,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",223844.0,OU,BCD,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",224284.0,OU,BCD,M,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",224312.0,OU,BCD,F,NO,P1
"A.L. GOVT. AYURVEDIC COLLEGE, WARANGAL.",225543.0,OU,BCE,F,NO,P1
