,COLLEGE,RANK,NEET_ROLL_NO,SCORE,SX,CAT,LOC,PHASE,EWS
0,"Care Dental College, Guntur",410692,1205220140,304,F,BCA,AU,MOPUP6,NO
1,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",102303,1206150026,506,F,BCD,AU,P1,NO
2,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",105297,1222010480,503,M,OC,SVU,P1,NO
3,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",109936,1206110326,499,F,BCD,AU,P1,NO
4,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",112199,1205220293,496,F,OC,AU,P1,NO
5,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",112273,1229020013,496,F,BCB,AU,P1,NO
6,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",118220,1206090340,491,F,OC,AU,P1,NO
7,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",120047,1206130087,489,M,BCD,AU,P1,NO
8,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",126937,1206090428,482,M,BCD,AU,P1,NO
9,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",132046,1206020623,477,M,BCD,AU,P1,NO
10,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",145929,1206010316,465,M,BCA,AU,P1,NO
11,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",156172,1206080046,456,F,BCD,AU,P1,NO
12,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",157039,1203010884,455,F,BCA,SVU,P1,NO
13,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",160583,1205060189,452,M,OC,AU,P1,NO
14,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",161682,1205040556,451,F,OC,AU,P1,NO
15,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",164595,1220060052,449,M,OC,AU,P1,NO
16,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",165728,1206110141,448,F,BCD,AU,P1,NO
17,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",166902,1206160017,447,F,BCD,AU,P1,NO
18,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",172521,1224050236,442,M,OC,AU,P1,NO
19,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",172922,1201010404,442,F,OC,AU,P1,NO
20,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",173726,1205040574,441,M,BCA,AU,P1,NO
21,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",177290,1206090191,439,F,BCD,AU,P1,NO
