SNo,Rank,Allotted Quota,Allotted Institute,Course,"Alloted
Category","Candidate
Category",Remarks
2505,2933,All India,"GOVT. MEDICAL COLLEGE, NAGPUR,Hanuman Nagar,Nagpur, Maharashtra, 440003",MBBS,Open,OBC,Allotted
2506,2934,Open Seat Quota,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal,
India, West Bengal, 741245",MBBS,OBC,OBC,Allotted
2507,2935,Open Seat Quota,"AIIMS Rajkot,MBBS admission cell Room No.3, Ground floor, AYUSH, Permanent
Campus, AIIMS Rajkot, Khanderi, Gujarat, 360006",MBBS,OBC,OBC,Allotted
2508,2936,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,General,Allotted
2509,2937,All India,"B.J. Government Medical College, Pune,Sassoon Hospital Compound, Near Pune
Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,EWS,EWS,Allotted
2510,2938,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,OBC,OBC,Allotted
2511,2940,Open Seat Quota,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal,
India, West Bengal, 741245",MBBS,EWS,EWS,Allotted
2512,2941,Open Seat Quota,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,OBC,OBC,Allotted
2513,2945,Open Seat Quota,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,EWS,EWS,Allotted
2514,2946,All India,"S.C.B. MEDICAL COLLEGE, CUTTACK,Mangalabag, Cuttack, Odisha, 753007",MBBS,Open,OBC,Allotted
2515,2947,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand
India, PIN - 814152, Jharkhand, 814152",MBBS,Open,General,Allotted
2516,2948,All India,"RAJENDRA INST. OF MED. SCI., RANCHI,Director, Rajendra Institute of Medical
Sciences, Bariatu,Ranchi, Jharkhand, 843009",MBBS,Open,General,Allotted
2517,2949,All India,"Osmania Medical College Koti ,KOTi, HYDERABAD",MBBS,Open,General,Allotted
2518,2952,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,General,Allotted
2519,2953,Open Seat Quota,"JIPMER KARAIKAL,Dhanvantari Nagar Gorimedu Puducherry 605006, Puducherry,
605006",MBBS,OBC,OBC,Allotted
2520,2954,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,General,Allotted
2521,2955,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,EWS,EWS,Allotted
2522,2957,All India,"M.G.M. MEDICAL COLLEGE, INDORE,AB ROAD INDORE, Madhya Pradesh, 452001",MBBS,Open,General,Allotted
2523,2958,Open Seat Quota,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur,
Uttar Pradesh, 273008",MBBS,EWS,EWS,Allotted
2524,2959,All India,"Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU,
Karnataka, 560002",MBBS,OBC,OBC,Allotted
2525,2960,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand
India, PIN - 814152, Jharkhand, 814152",MBBS,Open,General,Allotted
2526,2962,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,EWS,EWS,Allotted
2527,2964,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,EWS,EWS,Allotted
2528,2966,IP University Quota,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,
VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi
(NCT), 110029",MBBS,EWS,EWS,Allotted
2529,2967,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003",MBBS,Open,General,Allotted
2530,2969,Open Seat Quota,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,Open,General,Allotted
2531,2971,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,General,Allotted
2532,2972,All India,"Pt. J N M MEDICAL COLLEGE, RAIPUR,In front of Central Jail, Jail Road Raipur C.G.,
Chhattisgarh, 492001",MBBS,Open,General,Allotted
2533,2973,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,General,Allotted
2534,2974,All India,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA,138 AJC Bose Road, Kolkata -
700014, West Bengal, 700014",MBBS,Open,General,Allotted
2535,2977,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,General,Allotted
2536,2979,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted
2537,2980,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,OBC,OBC,Allotted
2538,2981,Open Seat Quota,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open,General,Allotted
2539,2982,All India,"Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper
Municipal General Hospital, Maharashtra,JUHU, VILEPARLE WEST MUMBAI,
Maharashtra, 400056",MBBS,Open,General,Allotted
2540,2983,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,General,Allotted
2541,2985,Open Seat Quota,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,EWS,EWS,Allotted
2542,2986,Open Seat Quota,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,General,Allotted
